id,boe,puesto_antes,puesto_despues,plazas_antes,plazas_despues,tipo,duplicacion,clave_correspondencia
100791,BOE-A-2025-22543,50370936,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=16:codigo/plazas=50370936/1
100792,BOE-A-2025-22543,50370638,OFICINA DE JUSTICIA DE PULPI.,1,1,,,BOE-A-2025-22543:tabla=0:fila=17:codigo/plazas=50370638/1
100793,BOE-A-2025-22543,50370954,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=18:codigo/plazas=50370954/1
100794,BOE-A-2025-22543,50370960,OFICINA GENERAL DEL REGISTRO CIVIL DE PURCHENA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=19:codigo/plazas=50370960/1
100795,BOE-A-2025-22543,50370964,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=20:codigo/plazas=50370964/1
100796,BOE-A-2025-22543,50370992,SERVICIO COMÚN GENERAL.,1,1,,,BOE-A-2025-22543:tabla=0:fila=21:codigo/plazas=50370992/1
100797,BOE-A-2025-22543,50371018,OFICINA GENERAL DEL REGISTRO CIVIL DE ROQUETAS DE MAR.,1,1,,,BOE-A-2025-22543:tabla=0:fila=22:codigo/plazas=50371018/1
100798,BOE-A-2025-22543,50371029,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=23:codigo/plazas=50371029/1
100799,BOE-A-2025-22543,50371030,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=24:codigo/plazas=50371030/1
100800,BOE-A-2025-22543,50371031,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=25:codigo/plazas=50371031/1
100801,BOE-A-2025-22543,50371032,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=26:codigo/plazas=50371032/1
100802,BOE-A-2025-22543,50371033,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=27:codigo/plazas=50371033/1
100803,BOE-A-2025-22543,50371034,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=28:codigo/plazas=50371034/1
100804,BOE-A-2025-22543,50371064,OFICINA GENERAL DEL REGISTRO CIVIL DE VERA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=29:codigo/plazas=50371064/1
100805,BOE-A-2025-22543,50371025,OFICINA GENERAL DEL REGISTRO CIVIL DE VELEZ-RUBIO.,1,1,,,BOE-A-2025-22543:tabla=0:fila=30:codigo/plazas=50371025/1
100806,BOE-A-2025-22543,50371074,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=31:codigo/plazas=50371074/1
100807,BOE-A-2025-22543,50371099,OFICINA GENERAL DEL REGISTRO CIVIL DE ARCOS DE LA FRONTERA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=32:codigo/plazas=50371099/1
100808,BOE-A-2025-22543,50371102,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=33:codigo/plazas=50371102/1
100809,BOE-A-2025-22543,50371119,OFICINA GENERAL DEL REGISTRO CIVIL DE BARBATE.,1,1,,,BOE-A-2025-22543:tabla=0:fila=34:codigo/plazas=50371119/1
100810,BOE-A-2025-22543,50370673,OFICINA DE JUSTICIA DE BENALUP-CASAS VIEJAS.,1,1,,,BOE-A-2025-22543:tabla=0:fila=35:codigo/plazas=50370673/1
100811,BOE-A-2025-22543,50370654,OFICINA DE JUSTICIA DE BORNOS.,1,1,,,BOE-A-2025-22543:tabla=0:fila=36:codigo/plazas=50370654/1
100812,BOE-A-2025-22543,50371153,SERVICIO COMÚN GENERAL.,1,1,,,BOE-A-2025-22543:tabla=0:fila=37:codigo/plazas=50371153/1
100813,BOE-A-2025-22543,50370676,OFICINA DE JUSTICIA DE CONIL.,1,1,,,BOE-A-2025-22543:tabla=0:fila=38:codigo/plazas=50370676/1
100814,BOE-A-2025-22543,50370663,OFICINA DE JUSTICIA DE JIMENEA DE LA FRONTERA.,1,1,,,BOE-A-2025-22543:tabla=0:fila=39:codigo/plazas=50370663/1
100815,BOE-A-2025-22543,50371185,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=40:codigo/plazas=50371185/1
100816,BOE-A-2025-22543,50371186,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=41:codigo/plazas=50371186/1
100817,BOE-A-2025-22543,50371187,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=42:codigo/plazas=50371187/1
100818,BOE-A-2025-22543,50371188,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,,,BOE-A-2025-22543:tabla=0:fila=43:codigo/plazas=50371188/1
