id,boe,puesto_antes,puesto_despues,puesto_normalizado_antes,puesto_normalizado_despues,plazas_antes,plazas_despues,campos_adicionales_modificados,clave_correspondencia,evidencia,candidatos_clave,confianza
101172,BOE-A-2025-22543,50372274,OFICINA GENERAL DEL REGISTRO CIVIL DE ALCALÁ DE GUADAÍRA.,50372274,OFICINA GENERAL DEL REGISTRO CIVIL DE ALCALÁ DE GUADAÍRA.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=205:codigo/plazas=50372274/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101173,BOE-A-2025-22543,50372284,SERVICIO COMÚN DE TRAMITACIÓN.,50372284,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=206:codigo/plazas=50372284/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101174,BOE-A-2025-22543,50372285,SERVICIO COMÚN DE TRAMITACIÓN.,50372285,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=207:codigo/plazas=50372285/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101175,BOE-A-2025-22543,50372286,SERVICIO COMÚN DE TRAMITACIÓN.,50372286,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=208:codigo/plazas=50372286/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101176,BOE-A-2025-22543,50372287,SERVICIO COMÚN DE TRAMITACIÓN.,50372287,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=209:codigo/plazas=50372287/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101177,BOE-A-2025-22543,50372288,SERVICIO COMÚN DE TRAMITACIÓN.,50372288,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=210:codigo/plazas=50372288/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101178,BOE-A-2025-22543,50372306,SERVICIO COMÚN DE TRAMITACIÓN.,50372306,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=211:codigo/plazas=50372306/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101179,BOE-A-2025-22543,50372310,OFICINA GENERAL DEL REGISTRO CIVIL DE CAZALLA DE LA SIERRA.,50372310,OFICINA GENERAL DEL REGISTRO CIVIL DE CAZALLA DE LA SIERRA.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=212:codigo/plazas=50372310/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101180,BOE-A-2025-22543,50372319,SERVICIO COMÚN DE TRAMITACIÓN.,50372319,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=213:codigo/plazas=50372319/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101181,BOE-A-2025-22543,50372320,SERVICIO COMÚN DE TRAMITACIÓN.,50372320,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=214:codigo/plazas=50372320/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101182,BOE-A-2025-22543,50372352,SERVICIO COMÚN DE TRAMITACIÓN.,50372352,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=215:codigo/plazas=50372352/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101183,BOE-A-2025-22543,50372440,OFICINA GENERAL DEL REGISTRO CIVIL DE ESTEPA.,50372440,OFICINA GENERAL DEL REGISTRO CIVIL DE ESTEPA.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=216:codigo/plazas=50372440/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101184,BOE-A-2025-22543,50372468,SERVICIO COMÚN DE TRAMITACIÓN.,50372468,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=217:codigo/plazas=50372468/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101185,BOE-A-2025-22543,50372469,SERVICIO COMÚN DE TRAMITACIÓN.,50372469,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=218:codigo/plazas=50372469/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101186,BOE-A-2025-22543,50372470,SERVICIO COMÚN DE TRAMITACIÓN.,50372470,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=219:codigo/plazas=50372470/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101187,BOE-A-2025-22543,50372481,SERVICIO COMÚN DE TRAMITACIÓN.,50372481,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=220:codigo/plazas=50372481/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
101188,BOE-A-2025-22543,50372482,SERVICIO COMÚN DE TRAMITACIÓN.,50372482,SERVICIO COMÚN DE TRAMITACIÓN.,1,1,"puesto,puesto_normalizado",BOE-A-2025-22543:tabla=1:fila=221:codigo/plazas=50372482/1,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,1,ALTA
