id,puesto_persistido,puesto_normalizado,plazas_persistidas,fecha_boe,boe,fuente_oficial,clasificacion,puesto_correcto_si_determinable,plazas_correctas_si_determinables,registro_espurio,causa
100783,50370878,50370878,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100784,50370903,50370903,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100785,50370917,50370917,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100786,50370918,50370918,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100787,50370928,50370928,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100788,50370649,50370649,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100789,50370934,50370934,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100790,50370935,50370935,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100791,50370936,50370936,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100792,50370638,50370638,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100793,50370954,50370954,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100794,50370960,50370960,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100795,50370964,50370964,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100796,50370992,50370992,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100797,50371018,50371018,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
100798,50371029,50371029,1,2025-11-07,BOE-A-2025-22543,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-22543,CODIGO_DE_PUESTO,reextracción de la columna Denominación,1,NO,CELDA_DESALINEADA
