Alias;Provincia;Municipio_oficial;Codigo_INE;Fuente;Confianza
Sant Esteve de Sesrovires;Barcelona;Sant Esteve Sesrovires;08208;https://www.ine.es/#v5-2-alias-municipal;ALTA
Sant Feliu de Llobgregat;Barcelona;Sant Feliu de Llobregat;08211;https://www.ine.es/#v5-2-alias-municipal;ALTA
Sant Vicenç del Castellet;Barcelona;Sant Vicenç de Castellet;08262;https://www.ine.es/#v5-2-alias-municipal;ALTA
Sant Viçens dels Horts;Barcelona;Sant Vicenç dels Horts;08263;https://www.ine.es/#v5-2-alias-municipal;ALTA
Santa Cruz de Bezama;Cantabria;Santa Cruz de Bezana;39073;https://www.ine.es/#v5-2-alias-municipal;ALTA
Santa Cruz de Retamar;Toledo;Santa Cruz del Retamar;45157;https://www.ine.es/#v5-2-alias-municipal;ALTA
Soraluze;Gipuzkoa;Soraluze-Placencia de las Armas;20065;https://www.ine.es/#v5-2-alias-municipal;ALTA
Torre de Capdella;Lleida;Torre de Cabdella, La;25227;https://www.ine.es/#v5-2-alias-municipal;ALTA
Torre Endomenech;Castellón/Castelló;Torre d'en Doménec, la;12120;https://www.ine.es/#v5-2-alias-municipal;ALTA
Torrolodones;Madrid;Torrelodones;28152;https://www.ine.es/#v5-2-alias-municipal;ALTA
Trucíos;Bizkaia;Trucios-Turtzioz;48087;https://www.ine.es/#v5-2-alias-municipal;ALTA
Ugao-Miravalles;Bizkaia;Ugao-Miraballes;48065;https://www.ine.es/#v5-2-alias-municipal;ALTA
Valadouro;Lugo;Valadouro, O;27063;https://www.ine.es/#v5-2-alias-municipal;ALTA
Valverde del Júcar;Cuenca;Valverde de Júcar;16236;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Arico;Santa Cruz de Tenerife;Arico;38005;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Estepona;Málaga;Estepona;29051;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Firgas;Las Palmas;Firgas;35008;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Fuentes de Oñoro;Salamanca;Fuentes de Oñoro;37140;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Ingenio;Las Palmas;Ingenio;35011;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de La Matanza de Acentejo;Santa Cruz de Tenerife;Matanza de Acentejo, La;38025;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de San Juan de la Rambla;Santa Cruz de Tenerife;San Juan de la Rambla;38034;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villa de Tegueste;Santa Cruz de Tenerife;Tegueste;38046;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villanueva de Castellón;Valencia/València;Castelló;46257;https://www.ine.es/#v5-2-alias-municipal;ALTA
Villlanueva del Arzobispo;Jaén;Villanueva del Arzobispo;23097;https://www.ine.es/#v5-2-alias-municipal;ALTA
Yécora-Iekora;Araba/Álava;Yécora/Iekora;01060;https://www.ine.es/#v5-2-alias-municipal;ALTA
A Rúa de Valdeorras;Ourense;Rúa, A;32072;https://www.ine.es/#v5-2-alias-municipal;ALTA
Abanto y Ciérvana;Bizkaia;Abanto y Ciérvana-Abanto Zierbena;48002;https://www.ine.es/#v5-2-alias-municipal;ALTA
Anteiglesia de Abadiño;Bizkaia;Abadiño;48001;https://www.ine.es/#v5-2-alias-municipal;ALTA
Alquería de Aznar;Alicante/Alacant;Alqueria d'Asnar, l';03017;https://www.ine.es/#v5-2-alias-municipal;ALTA
As Neves;Pontevedra;Neves, As;36034;https://www.ine.es/#v5-2-alias-municipal;ALTA
Benisamó;Valencia/València;Benissanó;46067;https://www.ine.es/#v5-2-alias-municipal;ALTA
